Rank, name, size
253, oca-core, 44
254, qemu-system-x86, 44
255, qmmp, 44
256, rkward, 44
257, ukui-control-center, 44
258, libvtk7-dev, 44
259, python3-watcher, 44
260, xmms2-plugin-all, 44
261, astroid, 43
262, auto-multiple-choice-common, 43
263, cairo-dock-plug-ins, 43
264, libdeal.ii-9.0.1, 43
265, games-toys, 43
266, multimedia-players, 43
267, freecad-python2, 43
268, freecad-python3, 43
269, libghc-hledger-dev, 43
270, libghc-hoogle-dev, 43
271, libghc-store-prof, 43
272, libghc-yesod-auth-dev, 43
273, k3b, 43
274, kdelibs5-dev, 43
275, kdepimlibs5-dev, 43
276, kget, 43
277, kio-extras, 43
278, python3-manila, 43
279, metview, 43
280, mencoder, 43
281, paraview, 43
282, peony, 43
283, php-horde-wicked, 43
284, plasma-framework, 43
285, collada-urdf-tools, 43
286, trilinos-all-dev, 43
287, libvisp-robot3.1, 43
288, libvtk6-dev, 43
289, xmltv-util, 43
290, darktable, 42
291, science-meteorology-dev, 42
292, science-viewing, 42
293, libevolution, 42
294, libgtkpod1, 42
295, libghc-happstack-authenticate-dev, 42
296, libghc-yesod-core-dev, 42
297, kdelibs5-plugins, 42
298, libkf5kdelibs4support5, 42
299, mate-control-center, 42
300, libotb, 42
301, php-horde-imap-client, 42
302, pkg-perl-tools, 42
303, retroarch, 42
304, libcollada-urdf0d, 42
305, python-rosbag, 42
306, scilab-full-bin, 42
307, sssd-common, 42
308, libghc-taffybar-prof, 42
309, calligraplan, 41
310, games-console, 41
311, science-meteorology, 41
312, science-viewing-dev, 41
313, python3-gdl, 41
314, libghc-aws-dev, 41
315, kstars, 41
316, kde-telepathy-call-ui, 41
317, kxstitch, 41
318, lives, 41
319, plasma-discover, 41
320, sqitch, 41
321, systemsettings, 41
322, texlive-fonts-extra, 41
323, x2goserver, 41
324, libghc-agda-dev, 40
325, clementine, 40
326, education-development, 40
327, libgdal-dev, 40
328, gstreamer1.0-plugins-good, 40
329, libghc-hledger-prof, 40
330, libghc-hoogle-prof, 40
331, libghc-yesod-auth-prof, 40
332, k3d, 40
333, kaddressbook, 40
334, kup-backup, 40
335, lava-dispatcher, 40
336, libreoffice-kde5, 40
337, lxqt-panel, 40
338, libopencv-contrib3.2, 40
339, openimageio-tools, 40
340, cl-pgloader, 40
341, rlvm, 40
342, soundkonverter, 40
343, sugar-session, 40
344, ubuntu-dev-tools, 40
345, python-vipscc, 40
346, libvisp-ar3.1, 40
347, libvisp-detection3.1, 40
348, wims, 40
349, workrave, 40
350, python3-aodh, 39
351, arctica-greeter, 39
352, biber, 39
353, libbio-perl-perl, 39
354, cinnamon-control-center, 39
355, science-engineering-dev, 39
356, science-typesetting, 39
357, libeclipse-jdt-ui-java, 39
358, libeclipse-ui-workbench-java, 39
359, libghc-gtk-sni-tray-dev, 39
360, libghc-happstack-authenticate-prof, 39
361, libghc-hopenpgp-prof, 39
362, libghc-lambdabot-haskell-plugins-dev, 39
363, libghc-yesod-core-prof, 39
364, kio, 39
365, accountwizard, 39
366, kontact, 39
367, kphotoalbum, 39
368, lokalize, 39
369, lxde, 39
370, kdegames, 39
371, openstack-cluster-installer, 39
372, phpunit, 39
373, qemu-system-ppc, 39
374, r-base-core, 39
375, slic3r-prusa, 39
376, libvisp-tt-mi3.1, 39
377, kde-config-tablet, 39
378, zanshin, 39
379, python3-barbican, 38
380, calligrasheets, 38
381, python3-datalad, 38
382, multimedia-audio-utilities, 38
383, science-robotics-dev, 38
384, dolphin-emu, 38
385, libevas1-engines-x, 38
386, gnudatalanguage, 38
387, libgtk-3-0, 38
388, guitarix, 38
389, libghc-aws-prof, 38
390, libghc-hakyll-prof, 38
391, libghc-happstack-server-dev, 38
392, libghc-lambdabot-core-dev, 38
393, yesod, 38
394, golang-github-influxdb-influxdb-dev, 38
395, jruby, 38
396, kdevelop53-libs, 38
397, matrix-synapse, 38
398, libmlt6, 38
399, liboctave6, 38
400, onboard, 38
401, opencfu, 38
402, octave-psychtoolbox-3, 38
403, qemu-system-arm, 38
404, rosegarden, 38
405, saga, 38
406, texlive-fonts-extra-links, 38
407, libvisp-tt3.1, 38
408, libactivemq-java, 37
409, awesome, 37
410, chromium-driver, 37
411, python-datalad, 37
412, eog-plugin-map, 37
413, erlang, 37
414, geany-plugins, 37
415, gnome-settings-daemon, 37
416, libghc-diagrams-lib-dev, 37
417, libghc-github-dev, 37
418, libghc-yesod-static-dev, 37
419, kdeconnect, 37
420, kdesvn, 37
421, kinfocenter, 37
422, libkf5texteditor5, 37
423, kwave, 37
424, latte-dock, 37
425, libperl5i-perl, 37
426, live-task-standard, 37
427, nanoc, 37
428, libopencv-dev, 37
429, openstack-clients, 37
430, php-horde-trean, 37
431, qemu-system-mips, 37
432, qemu-system-misc, 37
433, qemu-system-sparc, 37
434, libvisp-vision3.1, 37
435, libvtk7.1, 37
436, ark, 36
437, ejabberd, 36
438, fusiondirectory, 36
439, libgazebo9-dev, 36
440, libghc-termonad-dev, 36
441, kadu, 36
442, khelpcenter, 36
443, kleopatra, 36
444, kmplayer, 36
445, libdancer2-perl, 36
446, lintian, 36
447, ocsinventory-reports, 36
448, openguides, 36
449, python3-openimageio, 36
450, openscad, 36
451, pcl-tools, 36
452, php-horde-gollem, 36
453, plasma-nm, 36
454, powerdevil, 36
455, jami-daemon, 36
456, suricata, 36
457, thunderbird, 36
458, libvips-tools, 36
459, libvtk6.3, 36
460, xastir, 36
461, akonadiconsole, 35
462, blueman, 35
463, calibre, 35
464, games-c++-dev, 35
465, science-nanoscale-physics-dev, 35
466, python3-dolfin, 35
467, libdune-pdelab-dev, 35
468, freeipa-client, 35
469, gajim, 35
470, gnat-gps, 35
471, gnome-sushi, 35
472, libgnudatalanguage0, 35
473, gr-osmosdr, 35
474, gretl, 35
475, libghc-debian-dev, 35
476, libghc-happstack-server-prof, 35
477, libghc-hledger-lib-dev, 35
478, libghc-lambdabot-haskell-plugins-prof, 35
479, libghc-lambdahack-dev, 35
480, libghc-wai-extra-dev, 35
481, libghc-yi-core-dev, 35
482, ifrit, 35
483, ikiwiki, 35
484, python3-ironic-inspector, 35
485, kde-spectacle, 35
486, kgpg, 35
487, kino, 35
488, libkscreenlocker5, 35
489, libvirt-daemon, 35
490, mate-applets, 35
491, mate-settings-daemon, 35
492, parley, 35
493, php-horde-activesync, 35
494, plasma-sdk, 35
495, repsnapper, 35
496, libjoint-state-listener0d, 35
497, ros-robot-state-publisher, 35
498, python3-senlin, 35
499, golang-github-syncthing-syncthing-dev, 35
500, libtycho-java, 35
501, ukui-settings-daemon, 35
502, libvips42, 35
503, libvisp-gui3.1, 35
504, xserver-xephyr, 35
505, abiword, 34
506, aoflagger, 34
507, ballview, 34
508, ceph-common, 34
509, ceph-test, 34
510, chef, 34
511, cinnamon-settings-daemon, 34
512, astro-development, 34
513, science-physics, 34
514, enlightenment, 34
515, golang-etcd-server-dev, 34
516, evolution-rss, 34
517, libavcodec-extra58, 34
518, glom, 34
519, gnome-panel, 34
520, gnss-sdr, 34
521, libghc-diagrams-lib-prof, 34
522, libghc-lambdabot-core-prof, 34
523, libghc-lens-dev, 34
524, libghc-pandoc-citeproc-dev, 34
525, haskell-platform, 34
526, libghc-snap-dev, 34
527, libghc-yesod-static-prof, 34
528, ibus-clutter, 34
529, jabref, 34
530, python-notebook, 34
531, kbibtex, 34
532, kexi, 34
533, konq-plugins, 34
534, musescore, 34
535, network-manager, 34
536, librobot-state-publisher-solver0d, 34
537, librosbag3d, 34
538, siril, 34
539, smb4k, 34
540, sonic-visualiser, 34
541, subtitlecomposer, 34
542, supercollider-language, 34
543, libvips-dev, 34
544, libvisp-sensor3.1, 34
545, xfce4-goodies, 34
546, 389-ds-base, 33
547, anjuta, 33
548, asterisk-modules, 33
549, audacity, 33
550, libboost-all-dev, 33
551, libboost1.67-all-dev, 33
552, cantor, 33
553, claws-mail, 33
554, games-chess, 33
555, science-engineering, 33
556, libecore-evas1, 33
557, forked-daapd, 33
558, gnome-initial-setup, 33
559, gnome-phone-manager, 33
560, libgradle-plugins-java, 33
561, libghc-hledger-lib-prof, 33
562, libghc-persistent-dev, 33
563, libghc-wai-app-file-cgi-dev, 33
564, libghc-yi-core-prof, 33
565, heaptrack-gui, 33
566, juk, 33
567, python3-notebook, 33
568, kbackup, 33
569, kicad, 33
570, konsole-kpart, 33
571, python-libavg, 33
572, libcatalyst-modules-perl, 33
573, libcatmandu-perl, 33
574, libkf5ksieveui5, 33
575, moc, 33
576, open-vm-tools-desktop, 33
577, libopenscenegraph-3.4-131, 33
578, packaging-dev, 33
579, pim-data-exporter, 33
580, pitivi, 33
581, rhythmbox-plugins, 33
582, libvisp-io3.1, 33
583, libvisp-visual-features3.1, 33
584, wesnoth-1.14-core, 33
585, libkf5akonadicalendar5abi1, 32
586, backuppc, 32
587, libclutter-imcontext-0.1-0, 32
588, libclutter-imcontext-0.1-bin, 32
589, libdeal.ii-dev, 32
590, libecore-imf1, 32
591, gnome-applets, 32
592, gvfs-backends, 32
593, gwyddion, 32
594, libghc-criterion-dev, 32
595, libghc-github-prof, 32
596, libghc-lens-prof, 32
597, libghc-wai-extra-prof, 32
598, libghc-yesod-dev, 32
599, libk3b7, 32
600, libkf5kdelibs4support-dev, 32
601, libkf5eventviews5abi1, 32
602, libur-perl, 32
603, lives-plugins, 32
604, lxqt-core, 32
605, mate-panel, 32
606, mate-screensaver, 32
607, libmgl-wnd7.5.0, 32
608, mrtrix, 32
609, obs-plugins, 32
610, libopenimageio2.0, 32
611, libpetsc-real3.10-dbg, 32
612, php-horde-ingo, 32
613, pinot, 32
614, plasma-integration, 32
615, python-octaviaclient, 32
616, qgis, 32
617, liburdf0d, 32
618, scim-clutter-immodule, 32
619, python-jarabe, 32
620, python-tempest, 32
621, thunar, 32
622, ufoai-uforadiant, 32
623, warzone2100, 32
624, libweston-5-0, 32
625, xfce4-session, 32
626, yakuake, 32
627, asymptote, 31
628, libballview1.5, 31
629, cadabra, 31
630, clickhouse-common, 31
631, libevas1, 31
632, eom, 31
633, libavcodec58, 31
634, flightgear, 31
635, gedit, 31
636, gfsview, 31
637, glusterfs-common, 31
638, goldencheetah, 31
639, handbrake, 31
640, libghc-debian-prof, 31
641, libghc-gi-dbusmenugtk3-dev, 31
642, libghc-gi-vte-dev, 31
643, libghc-lambdabot-misc-plugins-dev, 31
644, libghc-snap-prof, 31
645, kjots, 31
646, libextractor3, 31
647, libkf5calendarsupport5abi1, 31
648, libvirt-daemon-system, 31
649, lxpanel, 31
650, mailman3, 31
651, mate-session-manager, 31
652, mikutter, 31
653, nemiver, 31
654, nemo, 31
655, node-babel-preset-env, 31
656, node-express, 31
657, nordugrid-arc-gridftpd, 31
658, performous, 31
659, libpetsc-complex3.10-dbg, 31
660, php-horde-prefs, 31
661, roary, 31
662, python3-tempest, 31
663, ukui-panel, 31
664, libvisp-blob3.1, 31
665, libvisp-imgproc3.1, 31
666, libvisp-klt3.1, 31
667, libvisp-me3.1, 31
668, balsa, 30
669, bioperl-run, 30
670, bluedevil, 30
671, python3-caffe-cpu, 30
672, cairo-dock-mail-plug-in, 30
673, calligrastage, 30
674, dh-make-perl, 30
675, kipi-plugins, 30
676, golang-github-docker-docker-dev, 30
677, libdolfin2018.1, 30
678, gnome-documents, 30
679, gnome-maps, 30
680, gscan2pdf, 30
681, gtk-3-examples, 30
682, libgtkglextmm-x11-1.2-0v5, 30
683, libghc-classy-prelude-dev, 30
684, libghc-criterion-prof, 30
685, libghc-fb-dev, 30
686, libghc-lambdahack-prof, 30
687, libghc-persistent-prof, 30
688, haskell-platform-doc, 30
689, haskell-platform-prof, 30
690, libghc-snap-core-dev, 30
691, libghc-wai-app-file-cgi-prof, 30
692, libghc-wai-app-static-dev, 30
693, hugin-tools, 30
694, idjc, 30
695, jekyll, 30
696, ktouch, 30
697, kwin-wayland, 30
698, labplot, 30
699, libdbix-class-schema-loader-perl, 30
700, guestfsd, 30
701, libkf5libkdepimakonadi5, 30
702, libreoffice, 30
703, lxqt-config, 30
704, lxqt-session, 30
705, libmagplus3v5, 30
706, odin, 30
707, libkasten3okteta1controllers1abi1, 30
708, pidgin, 30
709, postfixadmin, 30
710, python3-octaviaclient, 30
711, qtiplot, 30
712, golang-github-ncw-rclone-dev, 30
713, tf2-tools, 30
714, libcamera-info-manager0d, 30
715, libnodeletlib-tools, 30
716, libcollada-parser0d, 30
717, python-cv-bridge, 30
718, scribus, 30
719, trinityrnaseq, 30
720, libvisp-core3.1, 30
721, xscreensaver, 30
722, python3-zaqar, 30
723, 0ad, 29
724, aeskulap, 29
725, libkf5akonadicontact5, 29
726, atril, 29
727, budgie-core, 29
728, caja, 29
729, cantata, 29
730, ceph-base, 29
731, electronics-microcontrollers, 29
732, libeclipse-jdt-debug-ui-java, 29
733, libeclipse-ui-ide-java, 29
734, libelementary1, 29
735, freeture, 29
736, fvwm, 29
737, gambas3-ide, 29
738, geeqie, 29
739, gnome-boxes, 29
740, gnome-music, 29
741, gnome-photos, 29
742, gnome-subtitles, 29
743, goldendict, 29
744, kdepim-themeeditors, 29
745, libghc-cryptol-dev, 29
746, libghc-diagrams-cairo-dev, 29
747, libghc-gi-gtk-dev, 29
748, libghc-hedgehog-dev, 29
749, libghc-servant-server-dev, 29
750, libghc-wreq-dev, 29
751, libghc-yi-frontend-pango-dev, 29
752, heartbeat, 29
753, jameica, 29
754, kaffeine, 29
755, ksysguard, 29
756, kwin-x11, 29
757, libhtml-formfu-perl, 29
758, libkiokudb-perl, 29
759, libpoet-perl, 29
760, libreoffice-calc, 29
761, libreoffice-draw, 29
762, lmms, 29
763, luminance-hdr, 29
764, marco, 29
765, mate-power-manager, 29
766, megaglest, 29
767, mumble, 29
768, python3-neutron-lbaas, 29
769, python-nipype, 29
770, nordugrid-arc-arex, 29
771, libopenscenegraph100v5, 29
772, libopentk1.1-cil, 29
773, parcimonie, 29
774, php-horde-rpc, 29
775, libkf5plasma5, 29
776, psi-plus-webkit, 29
777, pulseaudio, 29
778, python3-pcl, 29
779, qgis-plugin-grass, 29
780, libqt5webkit5, 29
781, regina-normal, 29
782, rocs, 29
783, polled-camera-tool, 29
784, roundcube-core, 29
785, samba, 29
786, shotwell, 29
787, sylpheed, 29
788, tigervnc-standalone-server, 29
789, tracker-extract, 29
790, tt-rss, 29
791, umbrello, 29
792, viking, 29
793, libyade, 29
794, almanah, 28
795, amavisd-new, 28
796, baresip-core, 28
797, cairo-dock-terminal-plug-in, 28
798, circos, 28
799, python3-cloudkitty, 28
800, design-desktop-graphics, 28
801, games-platform, 28
802, multimedia-midi, 28
803, multimedia-photography, 28
804, science-economics, 28
805, science-linguistics, 28
806, epiphany-browser, 28
807, evolution-data-server, 28
808, libavdevice58, 28
809, flatpak, 28
810, freeplane, 28
811, gem, 28
812, xcas, 28
813, gimagereader, 28
814, libgmsh4.1, 28
815, gnome-books, 28
816, gnome-flashback, 28
817, golang-github-kotakanbe-goval-dictionary-dev, 28
818, grads, 28
819, libgtk2.0-0, 28
820, libgwyddion2-0, 28
821, libghc-classy-prelude-prof, 28
822, libghc-heist-dev, 28
823, libghc-warp-dev, 28
824, libghc-yesod-prof, 28
825, libghc-yesod-test-dev, 28
826, hplip, 28
827, ibus, 28
828, kde-cli-tools, 28
829, khotkeys, 28
830, krename, 28
831, ksirk, 28
832, kvirc-modules, 28
833, kwalletmanager, 28
834, libhtml-formhandler-perl, 28
835, libkf5pimcommon5abi2, 28
836, liferea, 28
837, lyx, 28
838, magics++, 28
839, mediathekview, 28
840, nageru, 28
841, python3-neutron-fwaas, 28
842, openalpr-daemon, 28
843, libpcl-dev, 28
844, php-horde-mime, 28
845, plasma-browser-integration, 28
846, plasma-mediacenter, 28
847, print-manager, 28
848, qgis-providers, 28
849, rapid-photo-downloader, 28
850, image-transport-tools, 28
851, libpolled-camera0d, 28
852, python-camera-calibration-parsers, 28
853, libkdl-parser1d, 28
854, librosbag-storage3d, 28
855, sawfish, 28
856, sigil, 28
857, sludge-devkit, 28
858, spotweb, 28
859, step, 28
860, libsynfig0a, 28
861, gimp-ufraw, 28
862, xcfa, 28
863, libxine2-misc-plugins, 28
864, libghc-xmonad-contrib-dev, 28
865, aiscm, 27
866, akonadi-import-wizard, 27
867, bind9, 27
868, cairo-dock-core, 27
869, cinnamon-session, 27
870, compiz-plugins-main, 27
871, csmash, 27
872, cups, 27
873, debci, 27
874, gimp-plugin-registry, 27
875, golang-github-kotakanbe-go-cve-dictionary-dev, 27
876, gobby, 27
877, libgnuradio-osmosdr0.1.4, 27
878, graphviz, 27
879, libgtk-3-dev, 27
880, libgyoto7, 27
881, libghc-fb-prof, 27
882, libghc-hedgehog-prof, 27
883, libghc-lambdabot-misc-plugins-prof, 27
884, libghc-snap-core-prof, 27
885, libghc-trifecta-dev, 27
886, libghc-twitter-conduit-dev, 27
887, libghc-yesod-form-dev, 27
888, i3-wm, 27
889, libmagickcore-6.q16-6, 27
890, libmagickcore-6.q16hdri-6, 27
891, jenkins-debian-glue-buildenv, 27
892, libjulia1, 27
893, kdesvn-kio-plugins, 27
894, libkf5messagelist5abi1, 27
895, kopano-server, 27
896, kopano-utils, 27
897, kreversi, 27
898, krfb, 27
899, ksudoku, 27
900, kwordquiz, 27
901, gladish, 27
902, libchado-perl, 27
903, libreoffice-gtk2, 27
904, ltsp-client-core, 27
905, libmapnik-dev, 27
906, libmgl-fltk7.5.0, 27
907, mathgl, 27
908, kde-standard, 27
909, netatalk, 27
910, network-manager-gnome, 27
911, nextcloud-desktop, 27
912, node-opencv, 27
913, libokular5core8, 27
914, python-opencv, 27
915, topp, 27
916, openssh-server, 27
917, pacemaker, 27
918, pcb-rnd, 27
919, pcmanfm-qt, 27
920, peruse, 27
921, php-horde-auth, 27
922, libpurple0, 27
923, postbooks, 27
924, libpowerdevilcore2, 27
925, psi-plus, 27
926, python-pyopencl, 27
927, qmapshack, 27
928, quassel, 27
929, r-cran-tidyverse, 27
930, remmina, 27
931, rex, 27
932, tf-tools, 27
933, libimage-transport0d, 27
934, python3-camera-calibration-parsers, 27
935, libnodeletlib1d, 27
936, python3-cv-bridge, 27
937, sat-xmpp-core, 27
938, spip, 27
939, sweep, 27
940, task-xfce-desktop, 27
941, terminatorx, 27
942, udisks2, 27
943, ukui-session-manager, 27
944, weston, 27
945, xchat, 27
946, xserver-xorg-video-intel, 27
947, python-graph-tool, 27
948, python3-graph-tool, 27
949, artikulate, 26
950, boxer, 26
951, cairo-dock-alsamixer-plug-in, 26
952, cairo-dock-dbus-plug-in, 26
953, cairo-dock-impulse-plug-in, 26
954, cairo-dock-powermanager-plug-in, 26
955, cairo-dock-tomboy-plug-in, 26
956, libcamitk-dev, 26
957, clickhouse-tools, 26
958, cluster-glue, 26
959, cod-tools, 26
960, compiz-plugins-experimental, 26
961, cpanminus, 26
962, crossfire-client, 26
963, junior-games-arcade, 26
964, diaspora-common, 26
965, dragonplayer, 26
966, drkonqi, 26
967, libeclipse-e4-ui-workbench-swt-java, 26
968, epoptes, 26
969, fcitx5-modules, 26
970, python-ipalib, 26
971, freemat, 26
972, fw4spl, 26
973, ganeti-2.16, 26
974, gerbera, 26
975, gnome-software, 26
976, godot3, 26
