# Transitive Dependencies
Rank, name, size
212, libkf5identitymanagement-dev, 537
213, libdolphinvcs-dev, 536
214, infon-viewer, 535
215, libkf5messagecomposer5abi2, 535
216, kio-dev, 535
217, kphotoalbum, 535
218, libkf5kio-dev, 534
219, libkf5pimtextedit-dev, 534
220, ros-desktop-python-dev, 533
221, syncevolution, 533
222, syncevolution-libs, 532
223, gnunet-gtk-dev, 531
224, libmiaviewit-dev, 531
225, kdegraphics, 530
226, libdeal.ii-dev, 530
227, libkf5templateparser-dev, 530
228, kdenlive-dbg, 529
229, libkf5templateparser5abi2, 529
230, kdepim-themeeditors, 529
231, libkf5messageviewer-plugins, 528
232, kdenlive, 528
233, libkf5messageviewer5abi4, 527
234, apper, 527
235, texlive-full, 527
236, kdebase-apps, 526
237, cantor-backend-octave, 525
238, kde-baseapps, 525
239, kde-telepathy-text-ui, 525
240, knode, 524
241, libreoffice-kde, 524
242, libkf5libkleo-dev, 523
243, libreoffice-kde4, 523
244, geary, 522
245, python-sfepy, 522
246, muon, 520
247, libvisp-ar-dev, 519
248, kaddressbook, 516
249, libkf5webkit-dev, 516
250, muon-discover, 516
251, muon-notifier, 516
252, muon-updater, 516
253, plasma-discover, 515
254, libcv-bridge-dev, 514
255, cairo-dock-dbus-plug-in-interface-vala, 513
256, libkf5incidenceeditor-bin, 513
257, libgstreamer-plugins-bad1.0-dev, 513
258, pim-sieve-editor, 513
259, plasma-nm, 513
260, jwm, 512
261, kalarm, 512
262, libkf5incidenceeditor5abi2, 512
263, kmymoney, 512
264, libkf5eventviews5, 510
265, libkf5purpose-dev, 510
266, pokemmo-installer, 510
267, kwin-addons, 509
268, ros-viz-python-dev, 509
269, libkf5calendarsupport5abi1, 507
270, kde-telepathy-desktop-applets, 507
271, libkf5ksieveui5, 507
272, gnome-control-center, 506
273, connectomeviewer, 506
274, kde-telepathy-contact-list, 506
275, kde-telepathy-integration-module, 506
276, libkpimsmtp-dev, 506
277, amarok, 505
278, amarok-utils, 505
279, amarok-dbg, 505
280, software-properties-kde, 505
281, cairo-dock, 505
282, kopete, 505
283, konq-plugins, 505
284, kwin-wayland, 505
285, ros-robot-dev, 505
286, qml-module-org-kde-telepathy, 504
287, libkf5webengineviewer5abi3, 503
288, kde-telepathy-send-file, 503
289, libktpwidgets9, 502
290, nova-compute-xen, 502
291, libvisp-vs-dev, 501
292, solaar-gnome3, 501
293, ubuntustudio-desktop-core, 501
294, libkf5grantleetheme-dev, 500
295, syncevolution-libs-kde, 500
296, dh-octave, 499
297, konqueror, 499
298, baloo-kf5-dev, 498
299, calligra, 498
300, gnome-devel, 498
301, marble, 498
302, marble-maps, 498
303, okular-backend-odp, 498
304, okular-backend-odt, 498
305, mythexport, 498
306, accountwizard, 497
307, karbon, 497
308, kate, 497
309, plasma-runner-telepathy-contact, 497
310, dolphin-owncloud, 496
311, kalgebra, 496
312, kile-l10n, 496
313, libkf5messagelist-dev, 496
314, nova-compute-lxc, 495
315, calligrasheets, 495
316, calligrastage, 495
317, calligrawords, 495
318, calligra-libs, 495
319, kdev-python, 495
320, kile, 495
321, libkf5messagelist5abi1, 495
322, xrdp-pulseaudio-installer, 495
323, nova-compute-libvirt, 494
324, kdesdk-dolphin-plugins, 494
325, kdevelop-python, 494
326, libkomparediff2-dev, 494
327, cairo-dock-dbus-plug-in-interface-ruby, 493
328, dolphin-plugins, 493
329, k3b, 493
330, kde-telepathy-filetransfer-handler, 493
331, libvisp-robot-dev, 493
332, qapt-utils, 493
333, rkward, 493
334, zanshin, 493
335, libkf5kaddressbookgrantlee5, 492
336, plasma-pa, 492
337, kgraphviewer-dev, 492
338, kio-gdrive, 492
339, sikuli-ide, 492
340, subtitlecomposer, 492
341, banshee-extension-telepathy, 491
342, forensics-extra, 491
343, kgraphviewer-dbg, 491
344, libkgraphviewer2, 491
345, libkf5sane-dev, 491
346, libkpimkdav-dev, 491
347, libkreport3-plugin-maps, 491
348, sikulix, 491
349, vistrails, 491
350, kamoso, 490
351, kgraphviewer, 490
352, libkf5kgeomap10.0.0, 490
353, libkeduvocdocument-dev, 490
354, libkf5messagecore-dev, 490
355, libvisp-tt-mi-dev, 490
356, marble-plugins, 490
357, cantor-backend-r, 489
358, kde-window-manager, 489
359, libkf5messagecore5abi2, 489
360, klinkstatus, 489
361, kwin, 489
362, libvisp-gui-dev, 489
363, ltsp-client, 489
364, plasma-sdk, 489
365, libkf5pimcommonakonadi5, 488
366, kwin-x11, 488
367, kio-extras, 488
368, kwin-wayland-backend-drm, 488
369, kwin-wayland-backend-fbdev, 488
370, kwin-wayland-backend-virtual, 488
371, kwin-wayland-backend-wayland, 488
372, kwin-wayland-backend-x11, 488
373, libkf5xmlrpcclient-dev, 488
374, libvisp-tt-dev, 488
375, plasma-runner-installer, 488
376, cairo-dock-dbus-plug-in-interface-python, 487
377, libkf5kaddressbookimportexport5, 487
378, knetwalk, 487
379, libkf5gravatar5, 487
380, kdevelop-php-docs, 487
381, kprinter4, 487
382, kwin-common, 487
383, libkf5syndication-dev, 487
384, marble-qt, 487
385, libmarblewidget-qt5-28, 486
386, okular, 486
387, kdevelop-php, 486
388, libvisp-vision-dev, 486
389, skrooge, 486
390, libkf5pimcommon-plugins, 485
391, bluedevil, 485
392, kde-telepathy-auth-handler, 485
393, kdevelop52-libs, 485
394, librviz-dev, 485
395, smtube, 485
396, libkf5pimcommon5abi3, 484
397, kttsd, 484
398, kxstitch, 484
399, libvisp-sensor-dev, 484
400, tellico, 484
401, choqok, 483
402, jovie, 483
403, kcollectd, 483
404, plasma-dataengines-addons, 483
405, kscreen, 483
406, kjots, 482
407, knights-dbg, 482
408, kvpnc-dbg, 482
409, libvisp-visual-features-dev, 482
410, peruse, 482
411, qtcurve, 482
412, semantik, 482
413, kdepasswd, 481
414, knights, 481
415, ktikz, 481
416, ktimetracker, 481
